AC3.10	AC3.3
F47D12.4	T03G11.1
F47D12.4	T19B10.7
F47D12.4	Y66D12A.5
F48F7.1	T06A10.3
F52C6.3	F52C6.3
F52C6.3	T05H4.14
F52C6.3	T07G12.11
F53G2.6	K01G5.4
F54D10.7	F54D10.7
F54D10.7	T01B7.5
F54D10.7	T05H4.14
F54D11.4	Y37D8A.9
F54E12.2	T01G9.4
F55A11.3	K07D4.3
F55B11.1	Y47G6A.8
F55B12.3	K06A1.4
F55B12.3	R107.8
F55B12.3	R10D12.14
F55F3.1	T01C8.1
F56D12.5	H26D21.1
F56H11.1	ZK418.4
F57B9.1	Y113G7B.23
F57F5.1	R09B3.1
F58A4.4	Y106G6H.2
F59A2.3	T22H2.5
F59A2.3	ZK418.4
F59A2.5	R07E5.8
H02I12.5	T05H4.14
H09G03.2	ZK792.6
H12C20.2	T28A8.7
H26D21.1	K12H4.1
H26D21.1	R06C1.1
H26D21.1	Y41C4A.14
H26D21.2	Y47G6A.11
K01A2.10	ZK20.5
K01G5.4	W02G9.2
K01G5.4	Y71F9AL.13
K03H1.10	W03D2.4
K04C2.4	K12C11.2
K04C2.4	Y54E2A.3
K04D7.1	W02D3.8
K04G2.10	ZK418.4
K04G7.10	ZK675.2
K05C4.1	W04D2.1
K05G3.3	R07E5.8
K06A4.5	Y41C4A.14
K07A1.1	T05G5.10
K07A1.12	M03C11.4
K07A1.12	T27C4.4
K07A1.12	ZK418.4
K07D4.3	R12E2.3
K07F5.13	Y37D8A.9
K08E3.6	Y37D8A.9
K08E3.6	Y39A1A.23
K10G6.1	Y82E9BR.13
K10H10.2	T05G5.10
K11D2.3	R03C1.1
K11D2.3	T05C12.6
K11D2.3	Y71H2B.10
K12C11.2	K12C11.2
K12D12.1	T04A11.6
M02A10.3	Y45F10D.13
M02G9.1	T23F1.6
M04B2.3	T07G12.6
M04G12.1	T21B10.2
M153.1	M153.1
M7.5	T24D1.3
R03E1.2	Y39H10A.7
R03G5.1	W03F9.1
R04B5.5	R04B5.5
R05D3.4	Y37D8A.9
R05F9.1	ZK418.4
R05F9.10	T23F1.6
R06F6.8	ZK678.1
R07B7.3	T20G5.11
R07E5.3	Y113G7B.23
R07E5.8	Y47D3A.4
R119.1	W02D3.8
R11A5.2	ZK1055.1
R12E2.3	T06D8.8
R12E2.3	W06D4.6
R13F6.1	T25C8.2
R151.2	R151.2
R186.4	ZK945.2
T04A11.6	T06E4.3
T04A11.6	W03D2.3
T04C12.6	T04C12.6
T04C12.6	T25C8.2
T04C12.6	W06F12.1
T04H1.4	ZC302.1
T05B9.1	T05B9.1
T05C12.7	Y41C4A.14
T05E7.5	ZK678.1
T05G5.10	ZK1225.6
T06E4.3	W03D2.3
T06E4.6	W03D2.4
T07F8.4	ZK945.2
T09B4.2	T09B4.2
T09F3.1	W06F12.1
T11B7.4	Y54E10BL.6
T11B7.4	ZK678.1
T12E12.4	T12E12.4
T13F2.8	Y56A3A.1
T19B10.4	T20G5.11
T20G5.11	T20G5.11
T21B6.3	T22H2.5
T22H2.5	T23F1.6
T22H2.5	W02D3.5
T22H2.5	ZK1067.7
T23F1.6	W02A2.3
T23F1.6	W03G1.5
T23F1.6	Y39B6A.1
T23F1.6	Y69H2.3
T23F1.6	ZK1067.7
