,Unnamed: 0,CN,AA,RA,PA,JA,SA,SO,HPI,HDI,LLHN,CAR,CH2_L2,DAGI,DALI,inDAGI,inDALI,PALI,PAGI,CN_DAGI_0.2_0.8,CN_DALI_0.2_0.8,CN_inDAGI_0.2_0.8,CN_inDALI_0.2_0.8,CN_PALI_0.2_0.8,CN_PAGI_0.2_0.8,CN_DAGI_0.4_0.6,CN_DALI_0.4_0.6,CN_inDAGI_0.4_0.6,CN_inDALI_0.4_0.6,CN_PALI_0.4_0.6,CN_PAGI_0.4_0.6,CN_DAGI_0.6_0.4,CN_DALI_0.6_0.4,CN_inDAGI_0.6_0.4,CN_inDALI_0.6_0.4,CN_PALI_0.6_0.4,CN_PAGI_0.6_0.4,CN_DAGI_0.8_0.2,CN_DALI_0.8_0.2,CN_inDAGI_0.8_0.2,CN_inDALI_0.8_0.2,CN_PALI_0.8_0.2,CN_PAGI_0.8_0.2
152,152,0.7222437888198757,0.7723214285714286,0.7778209109730849,0.7574404761904762,0.6452510351966874,0.6639492753623188,0.6452510351966874,0.727743271221532,0.6344461697722567,0.7556288819875776,0.5472308488612835,,0.8352096273291926,0.8035714285714285,0.2204321946169771,0.207233436853002,0.7578933747412009,0.7574404761904762,0.8717650103519669,0.8552018633540373,0.306353519668737,0.2512939958592132,0.7786620082815734,0.7700569358178054,0.8740942028985507,0.8431677018633541,0.3729943064182193,0.2845496894409938,0.7764622153209111,0.7745859213250518,0.8676242236024845,0.8464026915113871,0.5174689440993789,0.3493788819875776,0.7905667701863354,0.7771739130434783,0.8334627329192547,0.8236283643892339,0.6254528985507246,0.4724378881987577,0.7956133540372671,0.787008281573499
153,153,0.714156314699793,0.7630046583850932,0.7688276397515529,0.7547230848861284,0.6173007246376812,0.6299171842650104,0.6173007246376812,0.6955874741200828,0.6085662525879918,0.6477743271221532,0.5027820910973085,,0.8231107660455487,0.8197463768115942,0.2276138716356107,0.1864648033126293,0.7653985507246377,0.7547230848861284,0.828027950310559,0.838768115942029,0.2940605590062112,0.2102743271221532,0.775491718426501,0.7638457556935817,0.84375,0.845108695652174,0.4152432712215321,0.2602225672877847,0.7857142857142857,0.7637163561076605,0.8371506211180124,0.8227225672877846,0.5186335403726708,0.353131469979296,0.777044513457557,0.7688923395445134,0.8029891304347826,0.8046066252587992,0.6380693581780538,0.4803312629399586,0.7820910973084886,0.7766563146997929
154,154,0.7392598343685299,0.7652044513457557,0.768374741200828,0.7523291925465838,0.6434394409937888,0.6814182194616977,0.6434394409937888,0.7642986542443064,0.6239648033126294,0.7556288819875776,0.6023550724637681,,0.875,0.834368530020704,0.1568322981366459,0.1733954451345756,0.7466356107660456,0.748641304347826,0.8953804347826086,0.8691123188405796,0.2147386128364389,0.2030926501035196,0.7888845755693581,0.7854554865424431,0.8998447204968943,0.879205486542443,0.3438146997929607,0.2676630434782608,0.8070005175983438,0.8042831262939958,0.8774585921325052,0.8522903726708074,0.4779373706004141,0.3776526915113872,0.8152820910973085,0.8114001035196687,0.8438146997929606,0.8367624223602484,0.6381340579710145,0.5122282608695652,0.8028597308488612,0.7996894409937889
155,155,0.7051201011378002,0.7495259165613147,0.7485777496839443,0.7760745891276865,0.5885745891276865,0.6048514538558787,0.5885745891276865,0.6896333754740833,0.5784608091024019,0.7689633375474083,0.6185208596713021,,0.7864254108723134,0.7776548672566371,0.2723609355246523,0.2302465233881163,0.7626422250316055,0.7760745891276865,0.8046776232616941,0.7995417193426043,0.3430783817951959,0.2622471554993678,0.7712547408343868,0.7890328697850822,0.824905183312263,0.817082806573957,0.4329962073324905,0.3115518331226296,0.7856352718078382,0.7872945638432364,0.8124209860935525,0.8083912768647282,0.5437737041719343,0.3924620733249051,0.7880056890012642,0.7858723135271808,0.7825537294563844,0.7793141592920354,0.6469658659924147,0.499130847029077,0.7698324905183311,0.768173198482933
156,156,0.7334860935524652,0.7952749683944373,0.8025442477876106,0.8277496839443742,0.6562895069532237,0.677307206068268,0.6562895069532237,0.7268489254108722,0.6522597977243995,0.7799462705436156,0.5438527180783816,,0.8556415929203539,0.8539823008849557,0.1039032869785082,0.1540771175726928,0.8332806573957017,0.8277496839443742,0.869390012642225,0.8814791403286978,0.1873419721871049,0.1961125158027812,0.8465549936788874,0.8443426042983565,0.8904077117572693,0.8879582806573957,0.3256163084702907,0.2637484197218711,0.836441213653603,0.8457648546144121,0.867177623261694,0.8682048040455119,0.4273862199747155,0.361251580278129,0.8348609355246525,0.8258533501896334,0.8365202275600506,0.8354930467762325,0.6190739570164349,0.4968394437420986,0.8239570164348926,0.8187420986093552
157,157,0.6935840707964602,0.7246365360303414,0.7341182048040457,0.6628476611883691,0.6093552465233881,0.6241308470290772,0.6093552465233881,0.6599241466498104,0.5915771175726928,0.6400916561314791,0.580673198482933,,0.7949589127686473,0.775995575221239,0.2518173198482932,0.2296934260429835,0.7472345132743363,0.6628476611883691,0.805704804045512,0.7698324905183312,0.3303571428571428,0.2638274336283186,0.7243204804045511,0.6773072060682679,0.801121997471555,0.7709386852085967,0.423909608091024,0.3069690265486725,0.735224399494311,0.6890012642225031,0.778682048040455,0.7549778761061947,0.5228350189633375,0.3885113780025284,0.7364886219974716,0.700063211125158,0.7660398230088495,0.7537136536030342,0.6358249051833123,0.4757427307206068,0.7344342604298357,0.6994310998735777
158,158,0.6607142857142856,0.6973767383059417,0.7055941845764854,0.7864254108723135,0.5931573957016434,0.6021649810366623,0.5931573957016434,0.6406447534766118,0.5885745891276863,0.67628002528445,0.6113305941845764,,0.7960651074589128,0.7537136536030342,0.2766276864728192,0.2507111251580278,0.8087863463969659,0.7864254108723135,0.8356510745891277,0.8066529709228825,0.3332806573957017,0.2902180783817951,0.8053097345132744,0.7913242730720607,0.8470290771175727,0.8257743362831858,0.4314159292035398,0.3363621997471554,0.7891908975979772,0.7796302149178255,0.8230088495575222,0.8090233881163085,0.4808786346396966,0.4030499367888748,0.7771807838179519,0.7631953223767383,0.7673830594184576,0.7478666245259165,0.5723767383059418,0.4945480404551201,0.7561630847029077,0.7423356510745891
159,159,0.7269668737060042,0.7624223602484472,0.7642339544513457,0.7660455486542443,0.6156185300207039,0.646286231884058,0.6156185300207039,0.7169384057971014,0.5992494824016563,0.7135093167701864,0.5468426501035196,,0.82324016563147,0.7974249482401656,0.2278726708074533,0.2095626293995859,0.7785326086956523,0.7660455486542443,0.8300336438923396,0.8179994824016563,0.317870082815735,0.2496765010351967,0.7738742236024845,0.7734860248447205,0.8343685300207039,0.8130822981366459,0.4140786749482402,0.3037655279503106,0.7862965838509317,0.7741330227743272,0.8222049689440993,0.8194228778467909,0.5445781573498965,0.4131728778467909,0.7921195652173914,0.7874611801242236,0.8075828157349897,0.7938017598343685,0.6673136645962733,0.5366847826086957,0.7826733954451346,0.7769798136645962
160,160,0.6638845755693581,0.6858178053830227,0.6887939958592132,0.6255175983436854,0.6197593167701863,0.6374870600414078,0.6197593167701863,0.6902820910973084,0.6121894409937888,0.7165502070393375,0.5405020703933747,,0.6516563146997929,0.6776009316770186,0.2877846790890269,0.2253493788819875,0.6468038302277432,0.6257763975155279,0.6834239130434783,0.7163561076604554,0.3382505175983437,0.2443711180124223,0.7166796066252588,0.6857531055900621,0.7205615942028986,0.7506469979296067,0.4105848861283644,0.2809265010351967,0.7250258799171843,0.7112448240165632,0.7140269151138716,0.7453416149068324,0.5023291925465838,0.3452380952380953,0.7302665631469979,0.7135093167701864,0.7132505175983437,0.7312370600414079,0.6000258799171843,0.4071557971014493,0.7131858178053829,0.6995341614906833
161,161,0.7386219974715549,0.7793931731984829,0.7809734513274336,0.7454962073324907,0.6637958280657396,0.6844974715549936,0.6637958280657396,0.7552939317319847,0.6466498103666245,0.7160240202275601,0.5809102402022756,,0.8104456384323642,0.8008059418457649,0.2582964601769911,0.2070954487989886,0.7737041719342604,0.7454962073324907,0.8351769911504424,0.8434734513274337,0.316055625790139,0.2356984829329962,0.819453223767383,0.7936156763590392,0.8489254108723135,0.8494785082174463,0.4073957016434892,0.2676201011378003,0.8128160556257901,0.8065739570164349,0.8437104930467763,0.8472661188369153,0.4696586599241467,0.3414190897597976,0.8063369152970923,0.7849241466498104,0.8242730720606826,0.8240360303413401,0.6741466498103665,0.4804835651074589,0.8104456384323641,0.7929835651074589
