Network,Rn,Rn_attacked,Rn_HD,Rn_HB,Rn_HC,Rn_HCc,Rn_PA,Rn_BPA,Rn_CPA,Rn_CcPA,Rn_CAR,Rn_CH2_L2,Rn_CH2_L3
Dolphins,8.919354838709678,7.44,7.983870967741935,9.0,7.161290322580645,8.725806451612904,8.790322580645162,8.661290322580646,8.82258064516129,8.338709677419354,7.435483870967742,7.548387096774194,8.064516129032258
Dolphins,8.919354838709678,7.46,7.327868852459017,7.278688524590164,8.081967213114755,8.9,8.919354838709678,8.85483870967742,9.225806451612904,8.709677419354838,7.758064516129032,8.435483870967742,8.064516129032258
Dolphins,8.919354838709678,6.12,8.172413793103448,7.896551724137931,7.344827586206897,7.9655172413793105,9.161290322580646,8.451612903225806,8.758064516129032,9.258064516129032,8.483870967741936,7.67741935483871,8.290322580645162
Dolphins,8.919354838709678,7.08,8.081967213114755,7.180327868852459,7.3,7.639344262295082,9.016129032258064,9.274193548387096,8.612903225806452,8.5,7.774193548387097,7.161290322580645,6.870967741935484
Dolphins,8.919354838709678,6.88,8.216666666666667,8.180327868852459,8.783333333333333,7.950819672131147,8.290322580645162,8.758064516129032,8.612903225806452,8.983870967741936,8.516129032258064,6.951612903225806,7.983870967741935
Dolphins,8.919354838709678,7.82,8.065573770491802,7.524590163934426,8.491803278688524,8.573770491803279,8.67741935483871,9.290322580645162,8.46774193548387,8.919354838709678,7.82258064516129,8.370967741935484,8.048387096774194
Dolphins,8.919354838709678,7.4,8.14516129032258,8.758064516129032,8.67741935483871,7.951612903225806,8.451612903225806,9.14516129032258,8.580645161290322,8.85483870967742,7.935483870967742,9.209677419354838,9.14516129032258
Dolphins,8.919354838709678,7.36,8.62295081967213,8.311475409836065,8.225806451612904,7.516129032258065,8.96774193548387,8.790322580645162,8.596774193548388,8.85483870967742,8.46774193548387,8.419354838709678,7.887096774193548
Dolphins,8.919354838709678,8.06,7.983870967741935,9.306451612903226,9.387096774193548,8.53225806451613,9.290322580645162,8.693548387096774,8.887096774193548,9.048387096774194,7.806451612903226,7.354838709677419,8.161290322580646
Dolphins,8.919354838709678,7.16,8.666666666666666,7.967741935483871,8.366666666666667,8.2,8.580645161290322,8.870967741935484,8.774193548387096,8.887096774193548,7.370967741935484,7.048387096774194,7.548387096774194
Dolphins,8.919354838709678,6.48,8.59016393442623,8.483870967741936,8.60655737704918,7.737704918032787,9.080645161290322,8.612903225806452,8.435483870967742,9.241935483870968,8.903225806451612,8.612903225806452,7.790322580645161
Dolphins,8.919354838709678,6.74,7.854838709677419,8.838709677419354,8.161290322580646,8.241935483870968,8.741935483870968,8.338709677419354,8.419354838709678,8.516129032258064,6.225806451612903,7.790322580645161,8.129032258064516
Dolphins,8.919354838709678,7.04,7.816666666666666,8.25,8.166666666666666,7.166666666666667,8.790322580645162,8.53225806451613,8.693548387096774,8.887096774193548,8.35483870967742,8.274193548387096,6.096774193548387
